accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP010106.1,15467,Bacillus,1386,15329,1838945,136,138,Bacillus thuringiensis,1428,3625,1839079,2,11842
NZ_CP019962.1,23854,Eubacterium,1730,23847,1830605,89,7,Eubacterium limosum,1736,22413,1830694,0,1441
CAKAGO010000001.1,2428,unclassified Eubacteriales Family XIII. Incertae Sedis genus,,0,1800350,0,54198,[Eubacterium] brachy,35517,0,1852120,0,2428
AZKM01000008.1,51770,unclassified Eubacteriales Family XIII. Incertae Sedis genus,,0,1800350,0,54198,[Eubacterium] nodatum,35518,0,1802778,0,51770
NZ_CP046320.1,14231,Gordonia,2053,15653,1831009,88,7798,Gordonia bronchialis,2054,14029,1840247,70,202
NZ_JABELY010000001.1,9220,Gordonia,2053,15653,1831009,88,7798,Gordonia araii,263909,0,1845328,0,9220
NZ_CP121763.1,42519,Prescottella,2979332,40974,1811989,40,1545,Prescottella equi,43767,40974,1811989,40,1545
NZ_AP025457.1,49311,Tsukamurella,2060,80788,1773561,106,93,Tsukamurella pulmonis,47312,49076,1805205,32,235
NZ_CP019066.1,31570,Tsukamurella,2060,80788,1773561,106,93,Tsukamurella tyrosinosolvens,57704,31381,1822961,17,189
NZ_CP083630.1,4997,Leclercia,83654,4765,1849538,13,232,Leclercia adecarboxylata,83655,4717,1849541,10,280
NZ_AP018561.1,21536,Ureaplasma,2129,21446,1833012,0,90,Ureaplasma parvum,134821,20504,1833012,0,1032
NZ_CP114997.1,56395,Enterobacter,547,54331,1798118,35,2064,unclassified Enterobacter species,,0,1798153,0,56395
NC_075417.1,48418,Cytomegalovirus,10358,23837,1806130,0,24581,unclassified Cytomegalovirus species,,0,1806130,0,48418
NC_000883.2,11346,Erythroparvovirus,40121,11346,1843202,0,0,Primate erythroparvovirus 1,1511900,11346,1843202,0,0
OP255990.1,15996,Bocaparvovirus,1507401,15996,1838552,0,0,Primate bocaparvovirus 1,1511871,15996,1838552,0,0
