"","species","unique_genus_with_pathogen_00","unique_genus_non_pathogen_03","unique_genus_non_pathogen_02","unique_genus_non_pathogen_01","unique_family_with_pathogen_04","unique_family_with_pathogen_03","unique_family_with_pathogen_02","unique_family_with_pathogen_01","unique_family_non_pathogen_04","unique_family_non_pathogen_03","unique_family_non_pathogen_02","unique_family_non_pathogen_01","unique_family_non_pathogen_00","throat_with_pathogen_04","throat_with_pathogen_03","throat_with_pathogen_02","throat_with_pathogen_01","throat_non_pathogen_04","throat_non_pathogen_03","throat_non_pathogen_02","throat_non_pathogen_01","SI041_2","SI041_1","SI041","SI037","SI035","SI034","SI032","SI030","SI029","SI023","SI021","SI019","SI018","SI010","SI008","SI007","SI006","SI005","SI004","SI003","SI002","SI001","CSI005","CSI004","CSI003","CSI002","CSI001"
"53","Streptococcus sanguinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5547222873213,99.4885782475281,99.4770265222264,99.2312241277351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Moraxella osloensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1197183098592,99.0626464614904,NA,99.1209376664891,NA,98.9737991266375,100,100,NA,NA,NA,NA,NA,NA,NA,NA,99.0303137741535,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"55","Nocardia cyriacigeorgica",NA,NA,NA,NA,NA,99.1791143582769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2737430167598,100,99.1648511256355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Corynebacterium diphtheriae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3467336683417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Pantoea agglomerans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3948562783661,99.268700376097,99.2404767469035,NA,NA,99.2305916750019,99.3270848353761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Porphyromonas gingivalis",98.948060486522,NA,NA,NA,NA,NA,NA,99.2331369739426,NA,NA,NA,NA,NA,NA,99.2233009708738,99.2878338278932,99.341816586222,NA,NA,NA,NA,99.5268138801262,99.163179916318,99.4157272477316,99.3299937382592,99.2555831265509,97.5609756097561,100,NA,98.4615384615385,97.1428571428571,100,100,98.9445910290237,100,98.8584474885845,98.8372093023256,99.3951745447374,100,99.4987468671679,99.2565055762082,99.2050874403816,98.8721804511278,100,100,99.4407158836689,100,NA
"59","Burkholderia thailandensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1535117822009,99.0897269180754,NA,NA,NA,NA,99.537037037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Mycobacterium gordonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5575221238938,99.2653232577666,98.9031770045386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Streptococcus gordonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9672977624785,99.3717437940546,99.0582800284293,99.0753582986593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Mycobacteroides chelonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.023761282004,99.1803278688525,NA,NA,99.0553745928339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
