accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP020468.1,4558,Actinomyces,1654,0.9964480819542315,0.9463219620248363,0.999994096929491,124747,1863426,11,7076,Actinomyces gaoshouyii,1960083,0.9997022944378177,0.8929354980254498,0.99994675245215,4070,1990596,106,488
NZ_CP040235.1,25595,Bifidobacterium,1678,0.9998706935436986,0.9926573835712614,0.9999964305309942,33933,1961069,7,251,Bifidobacterium longum,216816,0.9961132884937302,0.6971674155108419,0.9999979691978077,17844,1969661,4,7751
NZ_AP019846.1,11370,Leptotrichia,32067,0.9954442027605425,0.8725748940112867,0.9999932433345495,62157,1924013,13,9077,Leptotrichia hongkongensis,554406,0.998202239307158,0.6948988566402814,0.9999405208958158,7901,1983772,118,3469
NZ_CP016839.1,3905,Brochothrix,2755,0.9999528883453785,0.9761843790012804,0.9999994978293675,3812,1991354,1,93,Brochothrix thermosphacta,2756,0.9999528883453785,0.9761843790012804,0.9999994978293675,3812,1991354,1,93
NZ_CP070914.1,15758,Escherichia,561,0.9928345178072031,0.09392054829293058,0.9999904016262676,1480,1979483,19,14278,Escherichia coli,562,0.9927237553000612,0.07932478740956975,0.9999949482243514,1250,1979492,10,14508
NZ_CP073277.1,4149,Clostridium,1485,0.9982137666269058,0.9419254038960175,0.9999638260840806,56670,1935026,70,3494,Clostridium butyricum,1492,0.9986327596403476,0.34393829838515305,0.9999969866069747,1427,1991105,6,2722
NZ_CP019728.1,12730,Jeotgalibaca,1470540,0.999605064001684,0.9658209085360537,0.999997971933589,22154,1972318,4,784,Jeotgalibaca dankookensis,708126,0.9998015296252117,0.968892380204242,1.0,12334,1982530,0,396
NZ_CP121210.1,12847,Riemerella,34084,0.999571985605886,0.9336810150229625,0.9999989911284883,11995,1982411,2,852,Riemerella anatipestifer,34085,0.999571985605886,0.9336810150229625,0.9999989911284883,11995,1982411,2,852
NZ_CP017038.2,14862,Tannerella,195950,0.9999017671882361,0.9868120037679989,1.0,14666,1980398,0,196,Tannerella serpentiformis,712710,0.9998997624369756,0.986542860987754,1.0,14662,1980398,0,200
NZ_CP109758.1,6924,Enterococcus,1350,0.9990707977907641,0.9626694915254237,0.9999527735285361,45438,1947968,92,1762,Enterococcus faecium,1352,0.9986738570411876,0.6302715193529752,0.9999567477528949,4364,1988250,86,2560
NZ_CP035439.1,11001,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus pyogenes,1314,0.9983410683319467,0.7072993364239615,0.9999546430178722,7781,1984169,90,3220
NZ_CP047630.1,3141,Lactococcus,1357,0.9996446578390786,0.9461592016709214,0.99999344207053,12231,1982320,13,696,Lactococcus raffinolactis,1366,0.9998596674117659,0.9121298949379179,0.999997992087822,2865,1992115,4,276
NZ_CP034157.1,5684,Cloacibacterium,501783,0.9997920070567244,0.9269880365939479,1.0,5269,1989576,0,415,Cloacibacterium normanense,237258,0.9991825626735363,0.7130541871921182,1.0,4053,1989576,0,1631
NZ_CP050497.1,20149,Treponema,157,0.9996977837474815,0.9852299762093577,0.9999964192688352,39756,1954901,7,596,Treponema vincentii,69710,0.9937231238034141,0.38046553178817805,0.9999792416729997,7666,1975070,41,12483
NZ_CP016087.1,1764,Clostridium,1485,0.9982137666269058,0.9419254038960175,0.9999638260840806,56670,1935026,70,3494,Clostridium saccharoperbutylacetonicum,36745,0.9999413610256307,0.9370748299319728,0.9999969902121699,1653,1993490,6,111
