"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1200","Streptococcus parauberis","300",96.0943452027782,99.9995846322528,99.9899565613747,99.8350071357766,98.1273176072121,99.9857963023116,99.9533536201169,96.6231435630487
"1201","Streptococcus phage 5093","75",84.7508722236013,100,99.8606698590502,100,0,100,97.985436213588,100
"1202","Streptococcus phage 5093","150",93.0457849719996,100,99.8869021574688,100,0,100,97.8041860370751,100
"1203","Streptococcus phage 5093","300",96.7177800467309,100,99.969858778248,100,0,100,97.988890976905,100
"1204","Streptococcus phage PH10","75",91.6380894313415,100,99.7358781513056,100,0,100,96.4932248327205,100
"1205","Streptococcus phage PH10","150",97.8440068441053,100,99.9310653326592,100,0,100,96.1117573219531,100
"1206","Streptococcus phage PH10","300",99.5359758660779,100,99.984977284517,100,0,100,96.4969685166196,100
"1207","Streptococcus pluranimalium","75",76.4481222151496,99.9992966757379,99.9436664895803,99.6129388996406,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1208","Streptococcus pluranimalium","150",82.1752265861027,99.999292210064,99.8396682736582,99.9047748605632,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1209","Streptococcus pluranimalium","300",83.046357615894,99.9987545135909,99.9589953445219,99.3660855784469,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1210","Streptococcus pneumoniae","75",66.1353986004818,99.967056636855,99.3963139107187,94.9578369204996,95.3766811022962,99.9851668465207,99.4087177707432,99.8221629200941
"1211","Streptococcus pneumoniae","150",84.6250671320617,99.9652668351769,99.733996375512,96.7277893163518,97.8765458182571,99.9773939892338,99.7339482535381,99.7467112772714
"1212","Streptococcus pneumoniae","300",92.3633712172721,99.9473996327669,99.8235102282298,94.3431672144411,98.749888084892,99.9739530917151,99.825614184235,99.7091937961575
"1213","Streptococcus pseudopneumoniae","75",54.4534578574391,99.9951838417225,99.5821194063719,82.3148391440625,95.5948429393162,99.9857348993076,99.6368987759343,99.0635086729926
"1214","Streptococcus pseudopneumoniae","150",73.226276376634,99.9952935136613,99.761563687264,85.6109992490422,97.9916670618205,99.9809175633762,99.8364940635396,98.9429548075674
"1215","Streptococcus pseudopneumoniae","300",84.7777697305848,99.9934227368052,99.8495684625821,83.6764052178433,98.9079202881927,99.9771933956158,99.8970905644576,98.7761918316852
"1216","Streptococcus pyogenes","75",70.7299336423961,99.9954643017872,99.8341068331947,98.8565620632702,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1217","Streptococcus pyogenes","150",81.7164179104478,99.9891572252536,99.9548064946374,93.418647166362,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1218","Streptococcus pyogenes","300",89.0089418777943,99.9849017468158,99.9238928743021,97.0546414787731,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1219","Streptococcus respiraculi","75",92.6700219383146,99.9995974865045,99.971131581849,99.8887188760607,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1220","Streptococcus respiraculi","150",97.2649047326368,99.9995978594056,99.9906807184064,99.8737772167876,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1221","Streptococcus respiraculi","300",98.9671610169492,99.9990644179432,99.9950297387299,99.7597437266417,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1222","Streptococcus salivarius","75",55.8387519582036,99.9926288731895,99.4336885270315,97.1803712708843,95.4053709850075,99.9767227071159,99.5020548479167,99.136019585141
"1223","Streptococcus salivarius","150",74.2273410568818,99.984121712738,99.7778288215402,95.0995832353824,97.8179027216501,99.9661345725435,99.756723170323,98.8589671735567
"1224","Streptococcus salivarius","300",85.1674352980152,99.9790695242715,99.7920290514278,96.4190765047352,98.7443794998709,99.9596295188704,99.8303657024114,98.6421513450973
"1225","Streptococcus sanguinis","75",91.4486119892634,99.9958801153878,99.8787227476251,99.3603856243772,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
"1226","Streptococcus sanguinis","150",97.6540350387332,99.9977249862755,99.975503821449,99.3897423807501,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1227","Streptococcus sanguinis","300",99.2026634673131,99.9952357230462,99.9841338632596,99.3005447282935,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1228","Streptococcus sobrinus","75",98.1612013484523,99.9997489956059,99.9967422792017,99.8441396508728,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1229","Streptococcus sobrinus","150",99.5018679950187,99.9995975515034,99.9975950241049,99.8999749937484,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1230","Streptococcus sobrinus","300",99.7471554993679,99.9995851319592,99.9991716231217,99.7471554993679,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1231","Streptococcus sp. 116-D4","75",71.8754939215611,99.9979215010254,99.7961889774017,99.5609543428463,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
"1232","Streptococcus sp. 116-D4","150",89.6575893442457,99.9987319445297,99.89067557929,99.8737109721314,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1233","Streptococcus sp. 116-D4","300",95.4148942936836,99.9975402053393,99.9640787936733,99.5487354971517,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1234","Streptococcus sp. FDAARGOS_192","75",23.6635373541952,99.998652619238,99.4530922006541,98.4837530909235,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
"1235","Streptococcus sp. FDAARGOS_192","150",37.0789670026946,99.9995701727409,99.1291484551497,99.7860025567076,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1236","Streptococcus sp. FDAARGOS_192","300",50.5523038847066,99.9985295908347,99.6396534984555,99.1517972936335,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1237","Streptococcus sp. LPB0220","75",63.9441123869232,99.9991556388529,99.4741868903377,99.8251956631577,97.8421859396747,99.9934263655853,99.5450178772462,99.9746596529131
"1238","Streptococcus sp. LPB0220","150",82.2972050820642,99.9992289365056,99.9431616643605,99.432897723496,99.2906645688367,99.9853692599027,99.8733117273094,99.9285687932183
"1239","Streptococcus sp. LPB0220","300",90.4644285787612,99.9981861614029,99.8598344006796,99.7336826596328,99.50223567956,99.9888903202838,99.8831279953901,99.9567809263472
"1240","Streptococcus sp. oral taxon 431","75",83.989334436983,99.9988168648771,99.8860743590621,99.4779634634991,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
"1241","Streptococcus sp. oral taxon 431","150",92.8846113445378,99.9987679937118,99.9645843355243,99.6044735093263,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1242","Streptococcus sp. oral taxon 431","300",95.8755437354916,99.9973203867047,99.9687335859342,99.0607395752409,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1243","Streptococcus suis","75",76.929497132776,99.9978801410309,99.9178142216645,84.3248204576235,94.5918046697696,99.9880759351773,99.6573099462662,97.3239295984921
"1244","Streptococcus suis","150",89.3336693521602,99.9973855434928,99.960275736284,84.1805192952162,97.5307571069925,99.983523417465,99.8421375910781,97.2312333488462
"1245","Streptococcus suis","300",95.5819803496183,99.994692065714,99.979088048242,75.5285207422222,98.6385136775057,99.9812170185504,99.9011163814509,96.5632471389213
