,,,,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA
taxon_name,tax_id,genus_name,pathogenic,CSI001,CSI002,CSI003,CSI004,CSI005,SI001,SI002,SI003,SI004,SI005,SI006,SI007,SI008,SI010,SI018,SI019,SI021,SI023,SI029,SI030,SI032,SI034,SI035,SI037,SI041
Schaalia odontolytica,1660,Schaalia,Yes,2.45484234560272,4.2455423497235,0.415144102330033,0.083799734887913,16.5019270349687,,28.6173113985337,,,0.922240623668034,0.114942952774492,13.2470899507446,,,1.47180017921969,0.0814955427339277,2.39950457583202,1.1926770824687,0.748990605965163,17.5067158490106,,10.4432805357696,5.0865971184207,,5.75888863359208
Schaalia sp. Marseille-Q2122,2736604,Schaalia,No,,,,3.28589866012901,,,,,,,,,,,,,,,,,,,,,
Selenomonas sp. Marseille-Q3039,2754044,Selenomonas,No,0.00490128288176647,,,,,,,2.00717313205523,,,,,,,1.03032500798033,0.036318728656484,,,,0.00467207103074885,0.308676968203837,0.712043016547358,0.747770274890699,,0.00683112648534231
Selenomonas sp. oral taxon 478,712538,Selenomonas,No,4.86614501734052,,,,,,0.00978941716570094,0.0200002647004877,,,,0.00328938636581578,,,0.171147166576774,0.0310036460316886,,,0.00511716355110089,0.0129779587533411,,4.76735915297433,13.2554863030437,,
Streptobacillus hongkongensis,1162717,Streptobacillus,No,,,,,,,,,,,,,0.0176140811172091,1.63579504616932,,0.00295272598994921,,,,,,,,,
Streptococcus australis,113107,Streptococcus,No,0.00504131858483143,,0.0069452243424486,0.00310870349293706,,1.2021483333715,0.00464368890228317,,0.00284675092590978,,0.00465086846565604,0.00227727168234254,0.00300729710192781,,,0.00590547511712036,,0.00210101958276272,0.00646378311649028,,,0.00455230500730556,0.0162558876014008,0.0116150963979134,
Streptococcus dysgalactiae,1334,Streptococcus,Yes,,,,,,,,,,,,,,,8.60112073677282,,0.00259581663221161,0.00210101958276272,,,,,,15.660056518337,
Streptococcus mitis,28037,Streptococcus,Yes,11.0406430926623,9.91874791874745,,2.13527498580647,,1.65102701349691,3.35200119007588,5.20292977020798,10.6222039122922,1.0471691765758,13.0558790393437,3.57885047396639,25.2486429449813,15.7741028584505,,7.75152464430365,,5.76169161402932,,2.11099221542076,,,,,
Streptococcus oralis,1303,Streptococcus,No,,,,,,,,,,,0.835607167297393,,,,,24.0101893271325,,1.98125840532195,6.8217190694447,,,,,,
Streptococcus pneumoniae,1313,Streptococcus,Yes,,1.41287971921726,,,,,,,3.06975829195613,,,,1.09100368239968,,,,,,,3.62422200762565,,,,,
