accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP040915.1,450,Georgenia,154116,448,999550,0,2,Georgenia yuyongxinii,2589797,447,999550,0,3
NZ_CP069520.1,1411,Enterocloster,2719313,1381,998589,0,30,Enterocloster bolteae,208479,1367,998589,0,44
NZ_CP013745.1,3734,Arthrobacter,1663,3726,996260,6,8,Arthrobacter alpinus,656366,3719,996264,2,15
NZ_CP020566.1,3015,Veillonella,29465,3009,996985,0,6,Veillonella atypica,39777,2957,996985,0,58
NZ_CP098491.1,6683,Bacillus,1386,6613,993295,22,70,Bacillus subtilis,1423,258,993315,2,6425
NZ_CP115634.1,2366,Elizabethkingia,308865,2313,997634,0,53,Elizabethkingia anophelis,1117645,1385,997634,0,981
NZ_CP085178.1,1816,Pediococcus,1253,1802,998183,1,14,Pediococcus pentosaceus,1255,1789,998183,1,27
NC_001526.4,1207,Alphapapillomavirus,333750,1194,998793,0,13,Alphapapillomavirus 9,337041,1194,998793,0,13
NZ_CP023482.1,1606,Dermabacter,36739,1540,998394,0,66,Dermabacter jinjuensis,1667168,1201,998394,0,405
NZ_CP031057.1,3473,Acidipropionibacterium,1912215,3434,996527,0,39,Acidipropionibacterium acidipropionici,1748,3369,996527,0,104
NC_001489.1,4876,Hepatovirus,12091,4876,995124,0,0,Hepatovirus A,12092,4876,995124,0,0
NZ_CP040235.1,10315,Bifidobacterium,1678,10284,989679,6,31,Bifidobacterium longum,216816,8536,989682,3,1779
NC_076165.1,1128,Simplexvirus,10294,987,998872,0,141,Macacine alphaherpesvirus 1,10325,967,999839,-967,161
NC_012756.1,267,unclassified Caudoviricetes genus,,0,999733,0,267,Streptococcus phage PH10,644007,258,999733,0,9
NZ_CP097775.1,3849,Paenibacillus,44249,3840,996146,5,9,Paenibacillus polymyxa,1406,3469,996148,3,380
NZ_CP036259.1,4719,Sporomusa,2375,4710,995281,0,9,Sporomusa termitida,2377,4707,995281,0,12
NC_001538.1,4288,Betapolyomavirus,1891714,4275,995712,0,13,Betapolyomavirus hominis,1891762,4264,995712,0,24
NZ_CP032364.1,1852,Lachnoanaerobaculum,1164882,1845,998148,0,7,Lachnoanaerobaculum umeaense,617123,1829,998148,0,23
NZ_CP046246.1,1310,Tetragenococcus,51668,1305,998690,0,5,Tetragenococcus halophilus,51669,1291,998690,0,19
NZ_CP047630.1,5820,Lactococcus,1357,5701,994175,5,119,Lactococcus raffinolactis,1366,5516,994180,0,304
NZ_AP025569.1,12241,Lachnoclostridium,1506553,12058,987756,3,183,[Clostridium] scindens,29347,12057,987756,3,184
NZ_CP016839.1,4112,Brochothrix,2755,4091,995888,0,21,Brochothrix thermosphacta,2756,4091,995888,0,21
